{'n_kernels': 8, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.32966211438179016, 'accuracy': 0.8879598379135132}
{'n_kernels': 16, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3312288522720337, 'accuracy': 0.8860089182853699}
{'n_kernels': 32, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.31571367383003235, 'accuracy': 0.8952062726020813}
{'n_kernels': 64, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.31737959384918213, 'accuracy': 0.8982720375061035}
{'n_kernels': 8, 'kernel_size': 3, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3982302248477936, 'accuracy': 0.8715161681175232}
{'n_kernels': 16, 'kernel_size': 3, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.33800727128982544, 'accuracy': 0.8835005760192871}
{'n_kernels': 32, 'kernel_size': 3, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3401198983192444, 'accuracy': 0.8890746831893921}
{'n_kernels': 64, 'kernel_size': 3, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.33044669032096863, 'accuracy': 0.8907469511032104}
{'n_kernels': 128, 'kernel_size': 3, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.32672691345214844, 'accuracy': 0.890189528465271}
{'n_kernels': 8, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3720698356628418, 'accuracy': 0.8812708854675293}
{'n_kernels': 16, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3275001645088196, 'accuracy': 0.8907469511032104}
{'n_kernels': 32, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3161611258983612, 'accuracy': 0.8938127160072327}
{'n_kernels': 64, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.31065505743026733, 'accuracy': 0.8993868231773376}
{'n_kernels': 128, 'kernel_size': 5, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.30042538046836853, 'accuracy': 0.9002229571342468}
{'n_kernels': 8, 'kernel_size': 7, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3603285849094391, 'accuracy': 0.8765329122543335}
{'n_kernels': 16, 'kernel_size': 7, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3234562277793884, 'accuracy': 0.8943701386451721}
{'n_kernels': 32, 'kernel_size': 7, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.30827492475509644, 'accuracy': 0.8977146148681641}
{'n_kernels': 64, 'kernel_size': 7, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.30356037616729736, 'accuracy': 0.9027312994003296}
{'n_kernels': 128, 'kernel_size': 7, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.29603448510169983, 'accuracy': 0.9027312994003296}
{'n_kernels': 8, 'kernel_size': 9, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.3418405055999756, 'accuracy': 0.884894073009491}
{'n_kernels': 16, 'kernel_size': 9, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.31318002939224243, 'accuracy': 0.8899108171463013}
{'n_kernels': 32, 'kernel_size': 9, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.2993210256099701, 'accuracy': 0.9002229571342468}
{'n_kernels': 64, 'kernel_size': 9, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.28881731629371643, 'accuracy': 0.9046822786331177}
{'n_kernels': 128, 'kernel_size': 9, 'activation_fnc': 'relu', 'pooling': 'max', 'optimizer': 'sgd', 'loss': 0.28578853607177734, 'accuracy': 0.904403567314148}
